"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
133,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"DTXSID7021360",56261.82,0,0,0,0.162612615383543,8.26814611603762,6.14675686149791,0.983481097839666,0,0,154.56543956044,0.0269907296020187,0.0269907296020187,0,6.59292836005318e-06,1.80569683482771e-05,0.0151607340992999,0.0151607340992999,0,0,0,0.164213807034995,0.294033288253315,0.0470453261205304,3.97285498781906e-09,3.97163700582831e-09,0,106.508024506709,0,1.55563497026391,0,0
133,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"DTXSID8020913",3521.6928768,0.0483749021538462,9.66892232285871e-05,0.000211215610271695,0.000664550994747195,0.034172026583201,0.0149523973818119,0.0023923835810899,0,0,9.67498043076923,0.224740300036159,0.224740300036159,0,3.49931139676307e-05,0.000981265240922512,0.000990218535607204,0.000990218535607204,0,0,0,0.00177078452138111,0.0170254013105882,0.00272406420969411,2.34726871214757e-07,2.34659391464366e-07,0,6.93675022878647,0,1.04435039968012,0,0
134,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"DTXSID7021360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"DTXSID8020913",1570.919705082,0,0,0,0,0,0,0,0,0,0,0.038962510319141,0.038962510319141,0,8.10739638786425e-06,0.000169137399875938,0.000388719036967294,0.000388719036967294,0,0,0,0.000948428950353729,0.00798863689910422,0.00127818190385667,2.14566850769994e-08,2.14505166662601e-08,0,3.50344692723392,0,0.458169692014699,0,0
135,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
